code,name,city,country,latitude,longitude
AAL,Aalborg,Aalborg,Denmark,57.0534,9.5057
AAR,Aarhus,Aarhus,Denmark,56.3,10.619
ABZ,Aberdeen,Aberdeen,United Kingdom,57.2019,-2.19778
ACE,Lanzarote,Lanzarote,Spain,28.9455,-13.6052
AGA,Agadir,Agadir,Morocco,30.325,-9.41307
AGP,Malaga,Malaga,Spain,36.6749,-4.49911
AHO,Alghero,Alghero,Italy,40.6321,8.29077
ALC,Alicante,Alicante,Spain,38.2822,-0.558156
AMM,Amman Jordan,Amman,Jordan,31.9497,35.9328
AMS,Amsterdam,Amsterdam,Netherlands,52.3105,4.76827
AOI,Ancona,Ancona,Italy,43.6163,13.3623
AQJ,Aqaba Jordan,Aqaba,Jordan,29.364183,35.010504
ARN,Stockholm Arlanda,Stockholm,Sweden,59.6498,17.9239
ATH,Athens,Athens,Greece,37.9364,23.9445
BCN,Barcelona,Barcelona,Spain,41.2971,2.07846
BDS,Brindisi,Brindisi,Italy,40.6576,17.947
BER,Berlin Brandenburg,Berlin,Germany,52.3667,13.5033
BFS,Belfast International,Belfast,United Kingdom,54.6575,-6.2158
BGY,Milan Bergamo,Bergamo,Italy,45.6739,9.70417
BHX,Birmingham,Birmingham,United Kingdom,52.4539,-1.74803
BIQ,Biarritz,Biarritz,France,43.4684,-1.52332
BJV,Bodrum,Bodrum,Turkey,37.2506,27.6642
BLL,Billund,Billund,Denmark,55.7403,9.15178
BLQ,Bologna,Bologna,Italy,44.5354,11.2887
BNX,Banja Luka,Banja Luka,Bosnia & Herzegovina,44.5629,17.1731
BOD,Bordeaux,Bordeaux,France,44.8283,-0.715556
BOH,Bournemouth,Bournemouth,United Kingdom,50.78,-1.8425
BOJ,Burgas,Burgas,Bulgaria,42.3413,27.3055
BRE,Bremen,Bremen,Germany,53.0475,8.78667
BRI,Bari,Bari,Italy,41.1389,16.7606
BRQ,Brno,Brno,Czech Republic,49.1513,16.6944
BRS,Bristol,Bristol,United Kingdom,51.3827,-2.71909
BRU,Brussels,Brussels,Belgium,50.9014,4.48444
BSL,Basel,Basel,Switzerland,47.5896,7.52991
BTS,Bratislava,Bratislava,Slovakia,48.1702,17.2127
BUD,Budapest,Budapest,Hungary,47.4369,19.2556
BVA,Paris Beauvais,Paris,France,49.4544,2.11278
BVE,Brive,Brive,France,45.1508,1.46917
BZG,Bydgoszcz,Bydgoszcz,Poland,53.0968,17.9777
BZR,Beziers Cap d'Agde,Beziers,France,43.3235,3.3539
CAG,Cagliari,Cagliari,Italy,39.2515,9.05428
CCF,Carcassonne,Carcassonne,France,43.216,2.30632
CDT,Castellon (Valencia),Castellon,Spain,39.999,0.026
CFE,Clermont,Clermont Ferrand,France,45.7867,3.16917
CFU,Corfu,Corfu,Greece,39.6019,19.9117
CGN,Cologne,Cologne,Germany,50.8659,7.14274
CHQ,Chania,Chania,Greece,35.5317,24.1497
CIA,Rome Ciampino,Rome,Italy,41.7994,12.5949
CLJ,Cluj,Cluj,Romania,46.785,23.6861
CPH,Copenhagen,Copenhagen,Denmark,55.6181,12.6561
CRL,Brussels Charleroi,Charleroi,Belgium,50.4592,4.45382
CRV,Crotone,Crotone,Italy,38.99722,17.08028
CTA,Catania,Catania,Italy,37.4668,15.0664
CUF,Cuneo,Cuneo,Italy,44.547,7.62322
CWL,Cardiff,Cardiff,United Kingdom,51.3967,-3.34333
DBV,Dubrovnik,Dubrovnik,Croatia,42.5614,18.2683
DLE,Dole,Dole,France,47.039,5.42725
DLM,Dalaman,Dalaman,Turkey,36.7147,28.7928
DRS,Dresden,Dresden,Germany,51.1344,13.7681
DTM,Dortmund,Dortmund,Germany,51.5183,7.61224
DUB,Dublin,Dublin,Ireland,53.4213,-6.27007
EDI,Edinburgh,Edinburgh,United Kingdom,55.95,-3.3725
EFL,Kefalonia,Kefalonia,Greece,38.1201,20.5005
EGC,Bergerac,Bergerac,France,44.8253,0.518611
EIN,Eindhoven,Eindhoven,Netherlands,51.4501,5.37453
EMA,East Midlands,East Midlands,United Kingdom,52.8311,-1.32806
ESU,Essaouira,Essaouira,Morocco,31.3918,-9.6757
EXT,Exeter,Exeter,United Kingdom,50.7344,-3.4139
FAO,Faro,Faro,Portugal,37.0144,-7.96591
FCO,Rome Fiumicino,Rome,Italy,41.8045,12.2508
FEZ,Fez,Fez,Morocco,33.9273,-4.97796
FKB,Karlsruhe / Baden-Baden,Karlsruhe,Germany,48.7794,8.0805
FMM,Memmingen,Memmingen,Germany,47.9888,10.2395
FMO,Münster,Münster,Germany,52.1346,7.68483
FNC,Madeira Funchal,Funchal,Portugal,32.6942,-16.7781
FNI,Nimes,Nimes,France,43.7574,4.41635
