code,name,city,country,latitude,longitude
TIA,Tirana,Tirana,Albania,41.41694444444444,19.716666666666665
EVN,Yerevan,Yerevan,Armenia,40.15,44.4
SZG,Salzburg,Salzburg,Austria,47.793055555555554,13.005555555555556
VIE,"Vienna
","Vienna
",Austria,48.111111111111114,16.558333333333334
GYD,Baku,Baku,Azerbaijan,40.5,49.983333333333334
BAH,"Bahrain
","Bahrain
",Bahrain,26.270833333333332,50.6375
CRL,Brussels Charleroi,Brussels Charleroi,Belgium,50.45916666666667,4.453888888888889
BNX,Banja Luka,Banja Luka,Bosnia and Herzegovina,44.93333333333333,17.3
SJJ,Sarajevo,Sarajevo,Bosnia and Herzegovina,43.81888888888889,18.338055555555556
TZL,Tuzla,Tuzla,Bosnia and Herzegovina,44.40972222222222,18.709166666666665
BOJ,Bourgas (Black Sea),Bourgas (Black Sea),Bulgaria,42.569722222222225,27.51527777777778
PDV,Plovdiv,Plovdiv,Bulgaria,42.06777777777778,24.850833333333334
SOF,Sofia,Sofia,Bulgaria,42.695277777777775,23.40611111111111
VAR,Varna (Black Sea),Varna (Black Sea),Bulgaria,43.231944444444444,27.825
DBV,Dubrovnik,Dubrovnik,Croatia,42.56333333333333,18.26527777777778
SPU,Split,Split,Croatia,43.525,16.292222222222225
LCA,Larnaca,Larnaca,Cyprus,34.875,33.624722222222225
PED,Pardubice,Pardubice,Czech Republic,50.013333333333335,15.73861111111111
PRG,Prague,Prague,Czech Republic,50.100833333333334,14.26
AAR,"Aarhus
","Aarhus
",Denmark,56.31027777777778,10.618055555555555
BLL,Billund,Billund,Denmark,55.73833333333334,9.15
CPH,Copenhagen,Copenhagen,Denmark,55.60805555555556,12.633333333333333
HBE,Alexandria (Borg El Arab),Alexandria (Borg El Arab),Egypt,30.9,29.683333333333334
SPX,Cairo (Sphinx),Cairo (Sphinx),Egypt,30.109722222222224,30.894444444444446
HRG,Hurghada,Hurghada,Egypt,27.2,33.86666666666667
RMF,"Marsa Alam
","Marsa Alam
",Egypt,25.633333333333333,34.56944444444445
SSH,"Sharm El Sheikh
","Sharm El Sheikh
",Egypt,27.85,34.266666666666666
HMB,Sohag ,Sohag ,Egypt,26.342777777777776,31.74277777777778
TLL,Tallinn,Tallinn,Estonia,59.413333333333334,24.8325
TKU,Turku,Turku,Finland,60.51416666666667,22.270555555555553
MLH,Basel-Mulhouse-Freiburg,Basel-Mulhouse-Freiburg,France,47.60666666666667,7.546666666666667
GNB,Grenoble,Grenoble,France,45.36277777777778,5.329722222222222
LYS,"Lyon
","Lyon
",France,45.72555555555556,5.081666666666666
NCE,Nice,Nice,France,43.663888888888884,7.2175
PAR,Paris (Any),Paris (Any),France,48.864444444444445,2.3488888888888892
BVA,Paris Beauvais,Paris Beauvais,France,49.45583333333334,2.1125000000000003
ORY,Paris Orly,Paris Orly,France,48.72888888888889,2.357222222222222
KUT,Kutaisi,Kutaisi,Georgia,42.25,42.7
BER,"Berlin Brandenburg
","Berlin Brandenburg
",Germany,52.36694444444444,13.500277777777777
BRE,Bremen,Bremen,Germany,53.04666666666667,8.79
CGN,Cologne,Cologne,Germany,50.865833333333335,7.142777777777778
DTM,Dortmund,Dortmund,Germany,51.516666666666666,7.6
HHN,Frankfurt Hahn,Frankfurt Hahn,Germany,49.95,7.266666666666667
FDH,Friedrichshafen,Friedrichshafen,Germany,47.66722222222222,9.5125
HAM,Hamburg,Hamburg,Germany,53.63027777777778,9.988333333333333
FKB,Karlsruhe/Baden-Baden,Karlsruhe/Baden-Baden,Germany,48.779444444444444,8.080555555555556
FMM,Memmingen/Munich West,Memmingen/Munich West,Germany,47.9925,10.243611111111111
NUE,Nuremberg ,Nuremberg ,Germany,49.49861111111111,11.066944444444443
ATH,"Athens
","Athens
",Greece,37.936388888888885,23.944444444444446
CHQ,Chania (Crete),Chania (Crete),Greece,35.531666666666666,24.149722222222223
CFU,Corfu,Corfu,Greece,39.60194444444445,19.911666666666665
HER,Heraklion (Crete),Heraklion (Crete),Greece,35.33972222222222,25.18027777777778
EFL,"Kefalonia
","Kefalonia
",Greece,38.12,20.500555555555554
KGS,Kos,Kos,Greece,36.79333333333333,27.091666666666665
JMK,Mykonos,Mykonos,Greece,37.434999999999995,25.348055555555554
PVK,Preveza - Aktion,Preveza - Aktion,Greece,38.925555555555555,20.76527777777778
RHO,Rhodes,Rhodes,Greece,36.40555555555555,28.08611111111111
JTR,Santorini,Santorini,Greece,36.399166666666666,25.479444444444443
JSI,"Skiathos
","Skiathos
",Greece,39.17722222222222,23.503611111111113
SKG,Thessaloniki,Thessaloniki,Greece,40.51972222222222,22.97083333333333
ZTH,Zakynthos,Zakynthos,Greece,37.75083333333333,20.884166666666665
